group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mint,,,,,1701136.0,ns,1
mint,,,,,2370812.0,ns,2
mint,,,,,4376824.0,ns,3
mint,,,,,4752512.0,ns,4
mint,,,,,6431043.0,ns,5
mint,,,,,8381886.0,ns,6
mint,,,,,8689529.0,ns,7
mint,,,,,9897632.0,ns,8
mint,,,,,12104374.0,ns,9
mint,,,,,14987245.0,ns,10
mint,,,,,16869334.0,ns,11
mint,,,,,18259938.0,ns,12
mint,,,,,26338671.0,ns,13
mint,,,,,18989193.0,ns,14
mint,,,,,19810430.0,ns,15
mint,,,,,21974548.0,ns,16
mint,,,,,21452946.0,ns,17
mint,,,,,23827364.0,ns,18
mint,,,,,25015017.0,ns,19
mint,,,,,26307421.0,ns,20
mint,,,,,26006224.0,ns,21
mint,,,,,28125791.0,ns,22
mint,,,,,30627709.0,ns,23
mint,,,,,30083601.0,ns,24
mint,,,,,31722015.0,ns,25
mint,,,,,33793004.0,ns,26
mint,,,,,36101520.0,ns,27
mint,,,,,37397887.0,ns,28
mint,,,,,37695409.0,ns,29
mint,,,,,39456375.0,ns,30
mint,,,,,42306052.0,ns,31
mint,,,,,41559909.0,ns,32
mint,,,,,43395502.0,ns,33
mint,,,,,44336380.0,ns,34
mint,,,,,45707173.0,ns,35
mint,,,,,47062248.0,ns,36
mint,,,,,49075140.0,ns,37
mint,,,,,48407823.0,ns,38
mint,,,,,48836546.0,ns,39
mint,,,,,51489543.0,ns,40
mint,,,,,54405297.0,ns,41
mint,,,,,54890263.0,ns,42
mint,,,,,55674389.0,ns,43
mint,,,,,57897092.0,ns,44
mint,,,,,59012138.0,ns,45
mint,,,,,59027798.0,ns,46
mint,,,,,60503950.0,ns,47
mint,,,,,63024500.0,ns,48
mint,,,,,65143874.0,ns,49
mint,,,,,63752896.0,ns,50
mint,,,,,68392661.0,ns,51
mint,,,,,66687187.0,ns,52
mint,,,,,69812813.0,ns,53
mint,,,,,70216907.0,ns,54
mint,,,,,68760326.0,ns,55
mint,,,,,70889241.0,ns,56
mint,,,,,72660357.0,ns,57
mint,,,,,73199375.0,ns,58
mint,,,,,81053560.0,ns,59
mint,,,,,78749394.0,ns,60
mint,,,,,80847658.0,ns,61
mint,,,,,81728329.0,ns,62
mint,,,,,82128110.0,ns,63
mint,,,,,83965390.0,ns,64
mint,,,,,84782588.0,ns,65
mint,,,,,86802825.0,ns,66
mint,,,,,86675464.0,ns,67
mint,,,,,89557232.0,ns,68
mint,,,,,91522675.0,ns,69
mint,,,,,89462054.0,ns,70
mint,,,,,94309404.0,ns,71
mint,,,,,94061343.0,ns,72
mint,,,,,96877935.0,ns,73
mint,,,,,106365777.0,ns,74
mint,,,,,101360354.0,ns,75
mint,,,,,98508788.0,ns,76
mint,,,,,100907571.0,ns,77
mint,,,,,113066698.0,ns,78
mint,,,,,105814743.0,ns,79
mint,,,,,106185492.0,ns,80
mint,,,,,108378472.0,ns,81
mint,,,,,105976464.0,ns,82
mint,,,,,109876626.0,ns,83
mint,,,,,112360262.0,ns,84
mint,,,,,116276731.0,ns,85
mint,,,,,109301497.0,ns,86
mint,,,,,113535153.0,ns,87
mint,,,,,131358666.0,ns,88
mint,,,,,134601510.0,ns,89
mint,,,,,118335032.0,ns,90
mint,,,,,121759294.0,ns,91
mint,,,,,122820030.0,ns,92
mint,,,,,125130510.0,ns,93
mint,,,,,125979090.0,ns,94
mint,,,,,123376300.0,ns,95
mint,,,,,126052096.0,ns,96
mint,,,,,123491559.0,ns,97
mint,,,,,125622128.0,ns,98
mint,,,,,127866179.0,ns,99
mint,,,,,127894126.0,ns,100
